Date,Count
2016-01-05T00:00:00,15
2016-01-06T00:00:00,19
2016-01-07T00:00:00,14
2016-01-12T00:00:00,1
2016-01-13T00:00:00,6
2016-01-14T00:00:00,10
2016-01-18T00:00:00,48
2016-01-19T00:00:00,4
2016-01-20T00:00:00,2
2016-01-21T00:00:00,6
2016-01-25T00:00:00,4
2016-01-26T00:00:00,22
2016-01-27T00:00:00,2
2016-01-28T00:00:00,8
2016-02-01T00:00:00,1
2016-02-02T00:00:00,51
2016-02-03T00:00:00,10
2016-02-04T00:00:00,25
2016-02-08T00:00:00,4
2016-02-09T00:00:00,9
2016-02-10T00:00:00,3
2016-02-11T00:00:00,11
2016-02-22T00:00:00,9
2016-02-23T00:00:00,10
2016-02-24T00:00:00,15
2016-02-25T00:00:00,6
2016-02-29T00:00:00,4
2016-03-01T00:00:00,3
2016-03-02T00:00:00,13
2016-03-03T00:00:00,10
2016-03-07T00:00:00,1
2016-03-08T00:00:00,28
2016-03-09T00:00:00,5
2016-03-10T00:00:00,12
2016-03-14T00:00:00,38
2016-03-15T00:00:00,1
2016-03-16T00:00:00,16
2016-03-21T00:00:00,2
2016-03-22T00:00:00,13
2016-03-23T00:00:00,11
2016-03-24T00:00:00,12
2016-04-11T00:00:00,11
2016-04-12T00:00:00,15
2016-04-13T00:00:00,2
2016-04-14T00:00:00,1
2016-04-20T00:00:00,5
2016-04-21T00:00:00,4
2016-04-25T00:00:00,10
2016-04-26T00:00:00,5
2016-04-27T00:00:00,7
2016-04-28T00:00:00,3
2016-05-03T00:00:00,4
2016-05-04T00:00:00,5
2016-05-05T00:00:00,2
2016-05-09T00:00:00,4
2016-05-10T00:00:00,10
2016-05-12T00:00:00,10
2016-05-18T00:00:00,4
2016-05-19T00:00:00,2
2016-05-23T00:00:00,8
2016-05-24T00:00:00,6
2016-05-25T00:00:00,10
2016-05-26T00:00:00,5
2016-06-06T00:00:00,6
2016-06-07T00:00:00,5
2016-06-08T00:00:00,4
2016-06-09T00:00:00,3
2016-06-13T00:00:00,18
2016-06-14T00:00:00,3
2016-06-15T00:00:00,24
2016-06-27T00:00:00,29
2016-06-28T00:00:00,8
2016-06-29T00:00:00,7
2016-06-30T00:00:00,2
2016-07-04T00:00:00,25
2016-07-05T00:00:00,9
2016-07-06T00:00:00,10
2016-07-07T00:00:00,12
2016-07-12T00:00:00,32
2016-07-13T00:00:00,3
2016-07-14T00:00:00,14
2016-07-18T00:00:00,15
2016-07-19T00:00:00,17
2016-07-20T00:00:00,1
