Date,Count
2016-03-14T00:00:00,1
2018-12-04T00:00:00,1
2018-12-06T00:00:00,1
2019-01-16T00:00:00,1
2019-01-23T00:00:00,1
2019-02-12T00:00:00,1
2019-02-21T00:00:00,1
2019-02-28T00:00:00,8
2019-03-04T00:00:00,3
2019-03-05T00:00:00,1
2019-03-07T00:00:00,1
2019-03-12T00:00:00,1
2019-03-18T00:00:00,1
2019-03-19T00:00:00,2
2019-03-20T00:00:00,3
2019-03-28T00:00:00,3
2019-04-02T00:00:00,7
2019-04-03T00:00:00,1
2019-04-10T00:00:00,1
2019-04-23T00:00:00,13
2019-04-24T00:00:00,1
2019-04-25T00:00:00,2
2019-04-29T00:00:00,1
2019-04-30T00:00:00,4
2019-05-01T00:00:00,46
2019-05-02T00:00:00,11
2019-05-07T00:00:00,2
2019-05-09T00:00:00,2
2019-05-13T00:00:00,1
2019-05-14T00:00:00,2
2019-05-15T00:00:00,2
2019-05-16T00:00:00,2
2019-05-21T00:00:00,2
2019-05-22T00:00:00,9
2019-06-05T00:00:00,4
2019-06-06T00:00:00,6
2019-06-11T00:00:00,3
2019-06-12T00:00:00,8
2019-06-18T00:00:00,2
2019-06-19T00:00:00,5
2019-06-20T00:00:00,4
2019-06-24T00:00:00,10
2019-06-25T00:00:00,1
2019-06-26T00:00:00,4
2019-06-27T00:00:00,1
2019-07-01T00:00:00,2
2019-07-03T00:00:00,3
2019-07-04T00:00:00,4
2019-07-09T00:00:00,3
2019-07-10T00:00:00,18
2019-07-11T00:00:00,1
2019-07-16T00:00:00,1
2019-07-17T00:00:00,3
2019-07-18T00:00:00,3
2019-07-22T00:00:00,1
2019-07-24T00:00:00,1
2019-07-25T00:00:00,9
2019-09-03T00:00:00,3
2019-09-04T00:00:00,3
2019-09-05T00:00:00,1
2019-09-09T00:00:00,4
2019-09-25T00:00:00,1
2019-09-26T00:00:00,4
2019-10-07T00:00:00,6
2019-10-08T00:00:00,4
2019-10-14T00:00:00,7
2019-10-15T00:00:00,3
2019-10-16T00:00:00,2
2019-10-17T00:00:00,23
2019-10-19T00:00:00,2
2019-10-21T00:00:00,3
2019-10-22T00:00:00,5
2019-10-24T00:00:00,5
2019-10-28T00:00:00,10
2019-10-29T00:00:00,6
2019-10-30T00:00:00,1
2019-10-31T00:00:00,3
2016-01-01T00:00:00,0
2019-11-02T00:00:00,0
