Date,Count
2018-11-29T00:00:00,1
2019-03-04T00:00:00,1
2019-04-02T00:00:00,2
2019-04-23T00:00:00,14
2019-04-24T00:00:00,1
2019-04-25T00:00:00,1
2019-04-30T00:00:00,1
2019-05-01T00:00:00,16
2019-05-02T00:00:00,7
2019-05-07T00:00:00,1
2019-05-16T00:00:00,1
2019-05-21T00:00:00,3
2019-05-22T00:00:00,1
2019-06-05T00:00:00,1
2019-06-11T00:00:00,1
2019-06-12T00:00:00,2
2019-06-20T00:00:00,2
2019-06-24T00:00:00,1
2019-06-26T00:00:00,1
2019-07-10T00:00:00,4
2019-07-16T00:00:00,1
2019-07-23T00:00:00,1
2019-09-09T00:00:00,2
2019-10-01T00:00:00,1
2019-10-07T00:00:00,5
2019-10-08T00:00:00,5
2019-10-14T00:00:00,7
2019-10-15T00:00:00,1
2019-10-16T00:00:00,4
2019-10-17T00:00:00,13
2019-10-24T00:00:00,1
2019-10-28T00:00:00,3
2019-10-31T00:00:00,3
2016-01-01T00:00:00,0
2019-11-02T00:00:00,0
